WAVELENGTH	THROUGHPUT
1989.3538818359375	0.0
1990.0	2.0373906805132713e-08
1990.6463623046875	2.0582924786075826e-08
2000.0	1.5395071860625824e-08
2000.648193359375	1.5001893149409055e-08
2010.0	1.8963556880800985e-08
2010.64990234375	1.92418965591483e-08
2020.0	2.0360786046003852e-08
2020.6517333984375	2.043818971484235e-08
2030.0	1.7341792995171655e-08
2030.6534423828125	1.7123989469419348e-08
2040.0	1.4730232484842354e-08
2040.6552734375	1.4560360630118583e-08
2050.0	1.268460448964898e-08
2050.656982421875	1.2552836628032867e-08
2060.0	9.910384897418858e-09
2060.658935546875	9.72145917109635e-09
2070.0	1.603683908594352e-08
2070.660888671875	1.648808844419995e-08
2080.0	1.4403940931099184e-08
2080.662841796875	1.4254980733731972e-08
2090.0	1.4276673858440851e-08
2090.664794921875	1.4278004754807851e-08
2100.0	1.4774075913914288e-08
2100.666748046875	1.4830891558495444e-08
2110.0	1.1912716659829199e-08
2110.668701171875	1.1695877134440887e-08
2120.0	1.523650192915864e-08
2120.670654296875	1.5497540372316574e-08
2130.0	1.3245089339441478e-08
2130.672607421875	1.3077637304984307e-08
2140.0	1.0948335917102973e-08
2140.674560546875	1.0788759919738906e-08
2150.0	1.3592980866059028e-08
2150.676513671875	1.3802065797998737e-08
2160.0	1.5252192785906962e-08
2160.6787109375	1.535918880333247e-08
2170.0	1.6054655067213487e-08
2170.6806640625	1.6107107394275312e-08
2180.0	1.736529178778898e-08
2180.682861328125	1.7459283386649694e-08
2190.0	1.4611777354831706e-08
2190.684814453125	1.4395504223552839e-08
2200.0	1.3141122010450985e-08
2200.68701171875	1.304720729510302e-08
2210.0	1.631393887420478e-08
2210.68896484375	1.656307894715206e-08
2220.0	1.3934545091849633e-08
2220.691162109375	1.3732481424261535e-08
2230.0	1.705567292834628e-08
2230.693115234375	1.7303265433075642e-08
2240.0	2.1488900645110314e-08
2240.6953125	2.1806683562138213e-08
2250.0	2.163035901576642e-08
