WAVELENGTH	THROUGHPUT
1989.95361328125	0.0
1990.0	1.089165603561088e-08
1990.04638671875	1.08932844001293e-08
2000.0	1.2504051376154752e-08
2000.0482177734375	1.2510783222675132e-08
2010.0	1.0168507824427014e-08
2010.0499267578125	1.0156612468393265e-08
2020.0	7.919770267555709e-09
2020.0517578125	7.907955049482966e-09
2030.0	1.1538619900288006e-08
2030.053466796875	1.155838505776148e-08
2040.0	9.80309044587147e-09
2040.0552978515625	9.793212953302689e-09
2050.0	9.169580752916483e-09
2050.05712890625	9.166057998529995e-09
2060.0	8.475387310008342e-09
2060.05908203125	8.471218963594834e-09
2070.0	1.0991570443529545e-08
2070.060791015625	1.1007101022575099e-08
2080.0	1.0620129054042616e-08
2080.062744140625	1.06177059486415e-08
2090.0	1.2179856997964004e-08
2090.064697265625	1.2190134206229628e-08
2100.0	1.106146147235736e-08
2100.066650390625	1.1055360601296183e-08
2110.0	9.903493703734728e-09
2110.068603515625	9.895209466463104e-09
2120.0	1.4885371630957056e-08
2120.070556640625	1.492181012815272e-08
2130.0	7.555864089175501e-09
2130.072509765625	7.500373221980367e-09
2140.0	1.2117032409342223e-08
2140.07470703125	1.2152814255269806e-08
2150.0	1.1522234549116606e-08
2150.07666015625	1.1517135135873605e-08
2160.0	1.2113039879558883e-08
2160.07861328125	1.2117738069421832e-08
2170.0	1.593867274858679e-08
2170.080810546875	1.5970735702499602e-08
2180.0	1.2505993162958418e-08
2180.082763671875	1.2476130288015391e-08
2190.0	1.559894915007877e-08
2190.084716796875	1.5626307030282992e-08
2200.0	1.926971729469906e-08
2200.0869140625	1.930282180097046e-08
2210.0	2.3070060577318592e-08
2210.089111328125	2.310497308035031e-08
2220.0	1.6646447575286582e-08
2220.091064453125	1.6585120720637766e-08
2230.0	1.6500955228140885e-08
2230.09326171875	1.6499192546855177e-08
2240.0	2.0017683651189327e-08
2240.095458984375	2.0052091414328862e-08
2250.0	1.7096083850853588e-08
2250.097412109375	1.706638594112855e-08
